Samples,Nucleotide,k_deg per hour,k_deg_err per hour
hHBB_10383581_START_reference_hHBB,PSU, 0.53070, 0.06952
hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU, 0.22447, 0.04250
hHBB_10383653_GC_rich_2_hHBB,PSU, 0.53512, 0.07555
hHBB_10383651_GC_rich_1_hHBB,PSU, 0.58139, 0.13402
hHBB_10388774_Twist_1_hHBB,PSU, 0.52193, 0.06228
hHBB_10388767_Genewiz_1_hHBB,PSU, 0.53813, 0.09656
hHBB_10388753_IDT_1_hHBB,PSU, 0.39537, 0.05842
hHBB_10405622_Eli_Fisker_s_Yellowstone_hHBB,PSU, 0.56496, 0.06930
hHBB_10415148_AB_Rhiju_Mod_3_hHBB,PSU, 0.18399, 0.02706
hHBB_10417205_Jill's_mod_of_Clotho_2.0_hHBB,PSU, 0.22190, 0.03504
hHBB_10389218_Omei_1_DG2=158.7_5'UTR_20_unpaired_hHBB,PSU, 0.29045, 0.03335
hHBB_10419549_BugacMan's_Lost_LD+finetuning_mod_Deg-2-ed_hHBB,PSU, 0.22307, 0.05186
hHBB_10415488_RLT-10_hHBB,PSU, 0.19479, 0.01963
hHBB_10419522_12_hHBB,PSU, 0.65340, 0.11321
hHBB_10409421_BugacMan's_Worm_refined_Kagglestyle_hHBB,PSU, 0.36702, 0.04310
hHBB_10396597_Astros-Brourd-Eli-mod3_hHBB,PSU, 0.57559, 0.04759
hHBB_10422723_Ribotree_Random_degscoreall_1_hHBB,PSU, 0.53953, 0.06519
hHBB_10422744_Ribotree_Random_degscore_1_hHBB,PSU, 0.61285, 0.05024
hHBB_10422764_Ribotree_LinearDesign_degscoreall_1_hHBB,PSU, 0.18295, 0.01549
hHBB_10422784_Ribotree_LinearDesign_degscore_1_hHBB,PSU, 0.26964, 0.03875
hHBB_10422804_Ribotree_LinearDesign_sup_1_hHBB,PSU, 0.27474, 0.02989
hHBB_10422827_Ribotree_Random_sup_1_hHBB,PSU, 0.45392, 0.07882
hHBB_10422746_Ribotree_BT_winner_random_degscore_2_hHBB,PSU, 0.64200, 0.12441
hHBB_10422776_RiboTree_Nullrecurrent_winner_LinearDesign_degscoreall_7_hHBB,PSU, 0.32193, 0.05950
